20 20
5 8 1; 1311.638 -39.5 2238.361; 1420.159 -39.5 2162.374; 1516.288 -39.5 2299.661; 1407.767 -39.5 2375.648
5 9 1; 1407.767 -39.5 2375.648; 1516.288 -39.5 2299.661; 1612.417 -39.5 2436.948; 1503.897 -39.5 2512.935
5 10 1; 1503.897 -39.5 2512.935; 1612.417 -39.5 2436.948; 1708.547 -39.5 2574.235; 1600.026 -39.5 2650.222
5 11 1; 1600.026 -39.5 2650.222; 1708.547 -39.5 2574.235; 1804.676 -39.5 2711.522; 1696.156 -39.5 2787.509
5 12 1; 1696.156 -39.5 2787.509; 1804.676 -39.5 2711.522; 1900.806 -39.5 2848.809; 1792.285 -39.5 2924.796
5 13 1; 1792.285 -39.5 2924.796; 1900.806 -39.5 2848.809; 1996.935 -39.5 2986.096; 1888.414 -39.5 3062.083
5 14 1; 1888.414 -39.5 3062.083; 1996.935 -39.5 2986.096; 2093.064 -39.5 3123.383; 1984.544 -39.5 3199.37
5 15 1; 1984.544 -39.5 3199.37; 2093.064 -39.5 3123.383; 2189.194 -39.5 3260.67; 2080.673 -39.5 3336.656
5 16 1; 2080.673 -39.5 3336.656; 2189.194 -39.5 3260.67; 2285.323 -39.5 3397.957; 2176.802 -39.5 3473.944
5 17 1; 2176.802 -39.5 3473.944; 2285.323 -39.5 3397.957; 2381.452 -39.5 3535.244; 2272.932 -39.5 3611.23
5 18 1; 2272.932 -39.5 3611.23; 2381.452 -39.5 3535.244; 2477.582 -39.5 3672.531; 2369.061 -39.5 3748.518
5 19 1; 2369.061 -39.5 3748.518; 2477.582 -39.5 3672.531; 2573.711 -39.5 3809.818; 2465.19 -39.5 3885.804
6 0 1; 651.1238 -39.5 1064.078; 759.6444 -39.5 988.0912; 855.7738 -39.5 1125.378; 747.2532 -39.5 1201.365
6 1 1; 747.2532 -39.5 1201.365; 855.7738 -39.5 1125.378; 951.9031 -39.5 1262.665; 843.3825 -39.5 1338.652
6 2 1; 843.3825 -39.5 1338.652; 951.9031 -39.5 1262.665; 1048.032 -39.5 1399.952; 939.5119 -39.5 1475.939
