20 20
5 12 1; 77950 2187.803 -644200; 85450 2165.266 -644200; 85450 2167.563 -639200; 77950 2190.43 -639200
5 13 1; 77950 2190.43 -639200; 85450 2167.563 -639200; 85450 2171.632 -634200; 77950 2197.319 -634200
5 14 1; 77950 2197.319 -634200; 85450 2171.632 -634200; 85450 2178.855 -629200; 77950 2238.268 -629200
5 15 1; 77950 2238.268 -629200; 85450 2178.855 -629200; 85450 2192.052 -624200; 77950 2268.839 -624200
5 16 1; 77950 2268.839 -624200; 85450 2192.052 -624200; 85450 2179.702 -619200; 77950 2237.918 -619200
5 17 1; 77950 2340.963 -619200; 85450 2339.666 -619200; 85450 2349.736 -614200; 77950 2358.029 -614200
5 18 1; 77950 2358.029 -614200; 85450 2349.736 -614200; 85450 2389.495 -609200; 77950 2403.561 -609200
5 19 1; 77950 2403.561 -609200; 85450 2389.495 -609200; 85450 2429.872 -604200; 77950 2435.288 -604200
6 0 1; 85449.99 2393.276 -704200; 92949.99 2365.123 -704200; 92949.99 2338.277 -699200; 85449.99 2355.806 -699200
6 1 1; 85449.99 2355.806 -699200; 92949.99 2338.277 -699200; 92949.99 2319.368 -694200; 85449.99 2329.787 -694200
6 2 1; 85449.99 2329.787 -694200; 92949.99 2319.368 -694200; 92949.99 2301.575 -689200; 85449.99 2313.453 -689200
6 3 1; 85449.99 2313.453 -689200; 92949.99 2301.575 -689200; 92949.99 2271.956 -684200; 85449.99 2292.687 -684200
6 4 1; 85449.99 2292.687 -684200; 92949.99 2271.956 -684200; 92949.99 2243.618 -679200; 85450 2261.253 -679200
6 5 1; 85450 2261.253 -679200; 92949.99 2243.618 -679200; 92949.99 2222 -674200; 85450 2238.11 -674200
6 6 1; 85450 2238.11 -674200; 92949.99 2222 -674200; 92949.99 2193.297 -669200; 85450 2218.086 -669200
6 7 1; 85450 2218.086 -669200; 92949.99 2193.297 -669200; 92949.99 2166.681 -664200; 85450 2196.707 -664200
6 8 1; 85450 2196.707 -664200; 92949.99 2166.681 -664200; 92949.99 2153.644 -659200; 85450 2178.337 -659200
6 9 1; 85450 2178.337 -659200; 92949.99 2153.644 -659200; 92950 2148.44 -654200; 85450 2168.877 -654200
6 10 1; 85450 2168.877 -654200; 92950 2148.44 -654200; 92950 2145.208 -649200; 85450 2165.35 -649200
6 11 1; 85450 2165.35 -649200; 92950 2145.208 -649200; 92950 2143.358 -644200; 85450 2165.266 -644200
6 12 1; 85450 2165.266 -644200; 92950 2143.358 -644200; 92950 2144.831 -639200; 85450 2167.563 -639200
6 13 1; 85450 2167.563 -639200; 92950 2144.831 -639200; 92950 2148.641 -634200; 85450 2171.632 -634200
6 14 1; 85450 2171.632 -634200; 92950 2148.641 -634200; 92950 2154.057 -629200; 85450 2178.855 -629200
6 15 1; 85450 2178.855 -629200; 92950 2154.057 -629200; 92950 2161.922 -624200; 85450 2192.052 -624200
6 16 1; 85450 2192.052 -624200; 92950 2161.922 -624200; 92950 2175.299 -619200; 85450 2179.702 -619200
6 17 1; 85450 2179.702 -619200; 92950 2175.299 -619200; 92950 2179.516 -614200; 85450 2175.806 -614200
6 18 1; 85450 2175.806 -614200; 92950 2179.516 -614200; 92950 2266.014 -609200; 85450 2214.318 -609200
6 19 1; 85450 2389.495 -609200; 92950 2395.548 -609200; 92950 2419.115 -604200; 85450 2429.872 -604200
7 0 1; 92949.99 2365.123 -704200; 100450 2350.112 -704200; 100450 2329.159 -699200; 92949.99 2338.277 -699200
7 1 1; 92949.99 2338.277 -699200; 100450 2329.159 -699200; 100450 2310.933 -694200; 92949.99 2319.368 -694200
7 2 1; 92949.99 2319.368 -694200; 100450 2310.933 -694200; 100450 2288.643 -689200; 92949.99 2301.575 -689200
7 3 1; 92949.99 2301.575 -689200; 100450 2288.643 -689200; 100450 2257.664 -684200; 92949.99 2271.956 -684200
7 4 1; 92949.99 2271.956 -684200; 100450 2257.664 -684200; 100450 2231.876 -679200; 92949.99 2243.618 -679200
7 5 1; 92949.99 2243.618 -679200; 100450 2231.876 -679200; 100450 2202.675 -674200; 92949.99 2222 -674200
7 6 1; 92949.99 2222 -674200; 100450 2202.675 -674200; 100450 2168.276 -669200; 92949.99 2193.297 -669200
7 7 1; 92949.99 2193.297 -669200; 100450 2168.276 -669200; 100450 2150.849 -664200; 92949.99 2166.681 -664200
7 8 1; 92949.99 2166.681 -664200; 100450 2150.849 -664200; 100450 2143.821 -659200; 92949.99 2153.644 -659200
7 9 1; 92949.99 2153.644 -659200; 100450 2143.821 -659200; 100450 2135.22 -654200; 92950 2148.44 -654200
7 10 1; 92950 2148.44 -654200; 100450 2135.22 -654200; 100450 2128.143 -649200; 92950 2145.208 -649200
7 11 1; 92950 2145.208 -649200; 100450 2128.143 -649200; 100450 2125.142 -644200; 92950 2143.358 -644200
7 12 1; 92950 2143.358 -644200; 100450 2125.142 -644200; 100450 2125.916 -639200; 92950 2144.831 -639200
7 13 1; 92950 2144.831 -639200; 100450 2125.916 -639200; 100450 2129.355 -634200; 92950 2148.641 -634200
7 14 1; 92950 2148.641 -634200; 100450 2129.355 -634200; 100450 2135.042 -629200; 92950 2154.057 -629200
7 15 1; 92950 2154.057 -629200; 100450 2135.042 -629200; 100450 2144.608 -624200; 92950 2161.922 -624200
7 16 1; 92950 2161.922 -624200; 100450 2144.608 -624200; 100450 2151.034 -619200; 92950 2175.299 -619200
7 17 1; 92950 2175.299 -619200; 100450 2151.034 -619200; 100450 2181.834 -614200; 92950 2179.516 -614200
7 18 1; 92950 2179.516 -614200; 100450 2181.834 -614200; 100450 2245.514 -609200; 92950 2266.014 -609200
7 19 1; 92950 2266.014 -609200; 100450 2245.514 -609200; 100450 2339.033 -604200; 92950 2371.447 -604200
8 0 1; 100450 2350.112 -704200; 107950 2342.817 -704200; 107950 2322.764 -699200; 100450 2329.159 -699200
8 1 1; 100450 2329.159 -699200; 107950 2322.764 -699200; 107950 2302.626 -694200; 100450 2310.933 -694200
8 2 1; 100450 2310.933 -694200; 107950 2302.626 -694200; 107950 2277.863 -689200; 100450 2288.643 -689200
8 3 1; 100450 2288.643 -689200; 107950 2277.863 -689200; 107950 2250.641 -684200; 100450 2257.664 -684200
8 4 1; 100450 2257.664 -684200; 107950 2250.641 -684200; 107950 2223.985 -679200; 100450 2231.876 -679200
8 5 1; 100450 2231.876 -679200; 107950 2223.985 -679200; 107950 2186.341 -674200; 100450 2202.675 -674200
8 6 1; 100450 2202.675 -674200; 107950 2186.341 -674200; 107950 2155.414 -669200; 100450 2168.276 -669200
8 7 1; 100450 2168.276 -669200; 107950 2155.414 -669200; 107950 2147.354 -664200; 100450 2150.849 -664200
8 8 1; 100450 2150.849 -664200; 107950 2147.354 -664200; 107950 2137.581 -659200; 100450 2143.821 -659200
8 9 1; 100450 2143.821 -659200; 107950 2137.581 -659200; 107950 2126.229 -654200; 100450 2135.22 -654200
8 10 1; 100450 2135.22 -654200; 107950 2126.229 -654200; 107950 2112.737 -649200; 100450 2128.143 -649200
8 11 1; 100450 2128.143 -649200; 107950 2112.737 -649200; 107950 2085.549 -644200; 100450 2125.142 -644200
8 12 1; 100450 2125.142 -644200; 107950 2085.549 -644200; 107950 2093.678 -639200; 100450 2125.916 -639200
8 13 1; 100450 2125.916 -639200; 107950 2093.678 -639200; 107950 2111.408 -634200; 100450 2129.355 -634200
8 14 1; 100450 2129.355 -634200; 107950 2111.408 -634200; 107950 2120.801 -629200; 100450 2135.042 -629200
8 15 1; 100450 2135.042 -629200; 107950 2120.801 -629200; 107950 2130.969 -624200; 100450 2144.608 -624200
8 16 1; 100450 2144.608 -624200; 107950 2130.969 -624200; 107950 2146.567 -619200; 100450 2151.034 -619200
8 17 1; 100450 2151.034 -619200; 107950 2146.567 -619200; 107950 2163.453 -614200; 100450 2181.834 -614200
8 18 1; 100450 2181.834 -614200; 107950 2163.453 -614200; 107950 2229.35 -609200; 100450 2245.514 -609200
8 19 1; 100450 2245.514 -609200; 107950 2229.35 -609200; 107950 2327.15 -604200; 100450 2339.033 -604200
